,target
134,-0.05896856
135,0.15573114
136,-0.036237415
137,0.012739284
138,-0.036352772
139,-0.031530853
140,-0.056395523
141,-0.037117217
142,-0.02092702
143,-0.057858232
144,-0.006485512
145,-0.024228618
146,0.14729396
147,-0.053257026
148,-0.09816878
149,-0.060282867
150,-0.04738056
151,0.006560356
152,-0.02472017
153,-0.058529273
154,0.04790907
155,-0.043778136
156,-0.04789123
157,-0.03713228
158,0.14417577
159,-0.05149313
160,-0.02625457
161,0.0066801384
162,0.007823822
163,0.004011806
164,-0.034561858
165,-0.049943563
166,-0.075443074
167,-0.07816758
168,0.012739284
169,-0.011091164
170,0.16696627
171,-0.033280905
172,-0.06322719
173,-0.025999213
174,0.00493758
175,0.113969214
176,-0.047196116
177,-0.045471694
178,-0.036943004
179,-0.06423882
180,-0.040685643
181,-0.050006952
182,0.1596523
183,-0.07786815
184,-0.03198051
185,0.012739284
186,-0.040685643
187,-0.06846513
188,0.13643433
189,-0.018411404
190,-0.03385966
191,-0.07163794
192,-0.0005637583
193,0.13971634
194,-0.025536636
195,0.16121255
196,-0.049864206
197,0.14051443
198,-0.053353187
199,-0.05511891
200,-0.027938906
201,-0.008810051
202,-0.07135782
203,-0.019546326
204,-0.003732691
205,0.16262631
206,-0.055971947
207,-0.022480141
208,0.16654158
209,-0.04907087
210,-0.057459336
211,-0.035233404
212,-0.055562407
213,0.1724414
214,-0.028552216
215,-0.05719228
216,-0.05132428
217,0.17556141
218,-0.04696067
219,-0.025579328
220,0.14729396
221,-0.0259709
222,0.17546237
223,0.15262224
224,0.04121356
225,-0.032760423
226,-0.032207668
227,-0.041217327
228,-0.04188667
229,0.012739284
230,-0.025181863
231,-0.003732691
232,-0.028673727
233,-0.052517194
234,-0.06238797
235,-0.06552922
236,0.1918994
237,-0.040685643
238,0.024146602
239,-0.04351903
240,0.13300559
241,-0.053647146
242,-0.03947622
243,-0.024325658
244,-0.054701358
245,-0.05106419
246,-0.046036363
247,0.11303446
248,0.13167605
249,-0.040685643
250,-0.057124607
251,-0.020390652
252,-0.037527245
253,-0.06839575
254,0.043200966
255,0.16769657
256,0.01730177
257,-0.0458625
258,-0.040685643
259,0.012739284
260,-0.05400356
261,-0.037439328
262,-0.0011662104
263,0.004011806
264,-0.07586254
265,-0.01564077
266,0.0036975122
267,0.010062498
268,-0.06585196
269,-0.035887796
270,-0.0064917295
271,-0.03131726
272,0.026900835
273,0.15175678
274,-0.047610935
275,-0.056111224
276,-0.011660217
277,-0.034216292
278,-0.0125384
279,0.002192286
280,-0.054062895
281,-0.017350176
282,-0.03131726
283,0.15535325
284,0.1619973
285,-0.03131726
286,0.17507555
287,-0.09516955
288,-0.040685643
289,-0.038609598
290,0.05521585
291,-0.040685643
292,-0.015927091
293,0.045056254
294,-0.04626025
295,0.012739284
296,-0.055040643
297,-0.02331393
298,-0.038028885
299,-0.06551453
300,-0.032095183
301,-0.0016550164
302,-0.061400514
303,0.13169052
304,-0.040685643
305,-0.00769943
306,0.13184702
307,-0.034209535
308,-0.029081548
309,0.0018480542
310,-0.015231084
311,0.14647844
312,-0.038470834
313,-0.048004195
314,-0.037926685
315,-0.049590718
316,0.17781907
317,-0.01564077
318,-0.040685643
319,-0.018696204
320,-0.040685643
321,-0.0259709
322,-0.0072963308
323,0.017171321
324,-0.03908426
325,0.005190472
326,0.13784711
327,-0.00555017
328,-0.07163776
329,0.14266683
330,-0.06677827
331,-0.07115613
332,0.15380721
333,-0.037926685
334,-0.040685643
335,-0.043044448
336,0.15467396
337,-0.04642516
338,-0.05703708
339,0.007706273
340,0.19184014
341,0.014028275
342,-0.032191344
343,-0.033830572
344,-0.035797648
345,-0.08013637
346,0.17872961
347,0.0038687098
348,0.025728993
349,-0.03059979
350,0.16827747
351,0.005100326
352,0.025163548
353,-0.059623607
354,0.1266763
355,-0.031233696
356,0.14067823
357,-0.057017643
358,-0.04137928
359,-0.03746861
360,-0.037117217
361,-0.012136302
362,0.14797817
363,-0.05258314
364,0.04767056
365,0.020935591
366,0.10934385
367,-0.02200144
368,-0.05607869
369,-0.07801147
370,-0.045310475
371,-0.0586328
372,-0.032184087
373,0.018524934
374,0.04809891
375,-0.02131899
376,-0.037567195
377,-0.037926685
378,-0.025112625
379,-0.04691909
380,-0.032191344
381,-0.012355703
382,-0.05594507
383,-0.040685643
384,0.038953543
385,-0.07119973
386,-0.06287738
387,-0.045034386
388,-0.017637009
389,-0.067263596
390,0.053216413
391,-0.0077224
392,0.15030327
393,-0.032796867
394,0.15734924
395,-0.04883383
396,-0.046036363
397,0.16034238
398,0.1197843
399,-0.033757355
400,0.002192286
401,-0.016796453
402,-0.036532287
403,-0.022196177
404,0.14188395
405,-0.028500887
406,-0.015840968
407,0.15175678
408,0.18524042
409,-0.02236021
410,-0.040843558
411,-0.03290417
412,-0.03290417
413,0.05570447
414,0.0038180875
415,0.1490272
416,-0.044884007
417,-0.031104153
418,0.009902503
419,-0.0018996838
420,-0.07028085
421,-0.05860876
422,0.1801939
423,-0.059067518
424,0.12751332
425,0.18086761
426,-0.03860162
427,0.13465914
428,-0.037447833
429,-0.04840195
430,-0.01014602
431,-0.046347506
432,-0.023791008
433,-0.0047642807
434,-0.01872316
435,0.002225457
436,0.1243146
437,0.12163961
438,-0.05134767
439,-0.0949579
440,-0.041814353
441,0.17251174
442,-0.040685643
443,0.04805503
444,-0.018112166
445,-0.024239585
446,-0.036491472
447,-0.02331393
448,0.14220427
449,0.028190192
450,-0.019744547
451,-0.040685643
452,0.1801939
453,0.13550818
454,0.18244888
455,-0.038191304
456,-0.053961895
457,-0.025922196
458,-0.04820372
459,-0.02792282
460,-0.05449716
461,0.14601839
462,0.044270806
463,0.17409293
464,-0.090638526
465,0.04939796
466,-0.013866218
467,0.03248253
468,0.0528971
469,0.14742848
470,-0.049254235
471,0.12581564
472,-0.06059883
473,-0.0016550164
474,0.008574851
475,-0.067614116
476,-0.05603493
477,0.044358034
478,-0.07289947
479,-0.016868234
480,0.0051884004
481,-0.0359805
482,-0.04556116
483,0.046481747
484,-0.041255184
485,0.16658634
486,0.028058577
487,0.0023755583
488,-0.0012049676
489,-0.03291233
490,0.004011806
491,-0.043905597
492,0.12707944
493,-0.032191344
494,-0.037436537
495,-0.022456277
496,-0.024872495
497,0.014999023
498,-0.08869836
499,-0.031268485
500,-0.014203829
501,-0.025843542
502,-0.04357705
503,-0.020283815
504,-0.0634879
505,0.008936856
506,-0.030373236
507,-0.0093644485
508,-0.05687401
509,-0.040685643
510,-0.03493641
511,0.129244
512,-0.06008833
513,-0.040685643
514,0.14226027
515,0.14220427
516,-0.019998258
517,-0.02991117
518,-0.034490492
519,0.1360826
520,0.0020101238
521,0.0014606306
522,-0.031085763
523,0.027219728
524,-0.037609506
525,-0.054674644
526,-0.036939193
527,0.15222202
528,0.0065953746
529,-0.08827952
530,0.14099611
531,0.111835726
532,-0.06782283
533,-0.019496465
534,-0.062008012
535,0.14272436
536,-0.0068448205
537,0.16669922
538,-0.049729686
539,-0.048535045
540,-0.054096617
541,0.13538353
542,-0.06639106
543,0.14417551
544,-0.027817592
545,-0.024942912
546,-0.020314882
547,0.040730584
548,-0.033322353
549,-0.056489524
550,-0.0062684366
551,-0.050680682
552,0.0008675178
553,0.03420749
554,0.15927435
555,0.00493758
556,0.016243787
557,0.0036975122
558,-0.022592874
559,-0.046497863
560,-0.06239672
561,-0.026753794
562,-0.01940373
563,-0.056684233
564,-0.011487154
565,-0.040685643
566,0.08730816
567,-0.03475231
568,-0.027131163
569,-0.018182898
570,-0.023175538
571,-0.052565385
572,-0.061098877
573,-0.0053839465
574,-0.021430396
575,0.18151173
576,-0.06007882
577,-0.03415849
578,-0.022711819
579,-0.009969874
580,0.12045635
581,-0.033873644
582,-0.047468487
583,-0.022772342
584,0.04786912
585,-0.031363517
586,0.18155347
587,-0.019100094
588,-0.0440412
589,0.16136041
590,-0.0077354675
591,0.008160935
592,-0.047562696
593,-0.07886251
594,0.17451072
595,-0.0068442314
596,0.14794903
597,0.0070752646
598,-0.06383318
599,-0.04351903
600,-0.0093644485
601,0.014655089
602,-0.059568226
603,-0.05444947
604,-0.035649855
605,-0.045378063
606,-0.026073378
607,0.0038687098
608,0.14975826
609,-0.051990017
610,-0.034949224
611,-0.033786748
612,-0.018547101
613,-0.009919865
614,-0.044544637
615,0.0058234106
616,-0.051053673
617,-0.028165055
618,-0.053382628
619,-0.021690242
620,-0.09816518
621,-0.043324288
622,-0.00596705
623,0.13083547
624,-0.01161013
625,-0.013408046
626,-0.013036171
627,-0.0592899
628,-0.07718521
629,0.13545133
630,-0.029105498
631,-0.002640685
632,-0.056131642
633,-0.059350487
634,-0.0529444
635,-0.037376273
636,-0.076770805
637,-0.080753736
638,0.13255772
639,-0.034258883
640,0.1596523
641,-0.048325893
642,-0.038634572
643,-0.06811858
644,0.16915154
645,-0.016098626
646,-0.03834719
647,-0.008810051
648,-0.051339496
649,-0.015591964
650,-0.04003912
651,-0.0125384
652,-0.037140913
653,-0.007100034
654,0.0058234106
655,0.04121356
656,-0.013042101
657,-0.04272645
658,-0.005809894
659,-0.04094287
660,-0.047747735
661,0.04269577
662,-0.046934776
663,-0.034216292
664,0.19701202
665,-0.0093644485
666,-0.016496915
667,0.027219728
668,-0.061649505
669,-0.06388575
670,-0.0070187966
671,0.140231
672,-0.03678869
673,-0.007943703
674,0.011153433
675,0.09082127
676,0.12335348
677,-0.013194877
678,-0.012219218
679,-0.050645426
680,-0.0068442314
681,-0.034106832
682,-0.072140306
683,-0.025601752
684,-0.06736818
685,-0.028645994
686,0.15211369
687,-0.023251891
688,0.13021313
689,-0.0020395431
690,0.14010262
691,0.04809891
692,0.0020020448
693,0.062584
694,-0.033730302
695,-0.037648514
696,0.021692386
697,-0.041844614
698,-0.06354356
699,-0.06225767
700,-0.057365354
701,0.16935734
702,-0.056348104
703,0.13862345
704,-0.02829012
705,0.1343104
706,-0.064893514
707,-0.080406785
708,-0.060212772
709,0.04786912
710,-0.040685643
711,0.1314575
712,0.04269577
713,0.14570215
714,-0.025579328
715,-0.058409106
716,0.0066801384
717,-0.013022501
718,0.14951247
719,-0.025664248
720,-0.045390595
721,-0.053721327
722,-0.078476615
723,0.016203677
724,0.1530105
725,-0.034765683
726,-0.074053384
727,0.14008129
728,-0.04642516
729,-0.025190024
730,-0.03824244
731,-0.038867887
732,0.040730584
733,0.16052821
734,-0.046000764
735,0.15660408
736,0.1323756
737,-0.040685643
738,-0.02905988
739,-0.05199881
740,-0.085560225
741,0.17896922
742,-0.044943366
743,0.00493758
744,-0.061169323
745,0.15422983
746,-0.025089962
747,-0.0777701
748,0.13234659
749,0.0014606306
750,0.1307187
751,-0.047684815
752,0.0047775945
753,-0.09070957
754,-0.040685643
755,-0.051519983
756,0.12800601
757,-0.03253397
758,-0.011810702
759,0.1504938
760,-0.031623144
761,-0.04272484
762,0.16064692
763,-0.043280177
764,-0.052668944
765,0.16776033
766,-0.054581333
767,0.10447467
768,-0.008810051
769,-0.08287751
770,0.002192286
771,-0.047886156
772,-0.009931324
773,0.1668643
774,0.016350387
775,-0.014041646
776,-0.043167762
777,-0.006146431
778,-0.07095047
779,-0.04846529
780,-0.04062972
781,-0.057394423
782,-0.07597001
783,-0.080139056
784,0.12149587
785,-0.057654273
786,-0.059945866
787,0.043517977
788,0.0042113406
789,-0.053593982
790,-0.0016550164
791,-0.013465607
792,0.14265123
793,0.017171321
794,0.18296954
795,0.1794378
796,-0.05353889
797,-0.057043508
798,-0.05738775
799,0.12187971
800,-0.03475964
801,0.04621609
802,0.0023293502
803,-0.10929153
804,-0.018526115
805,-0.045094974
806,-0.029803935
807,-0.0025305233
808,0.016243787
809,-0.0341626
810,-0.092220776
811,-0.057717692
812,0.118810356
813,-0.0007885272
814,-0.034609806
815,-0.03368298
816,-0.0055767833
817,0.17822947
818,0.021542694
819,-0.046036363
820,-0.016855804
821,0.12949558
822,-0.011487154
823,-0.061990354
824,0.14518784
825,-0.04012577
826,0.14729396
827,0.012739284
828,0.04269577
829,0.016980033
830,0.01448487
831,-0.048230056
832,0.15013064
833,-0.040685643
834,-0.028962497
835,-0.018795041
836,-0.056225777
837,-0.0449958
838,-0.050875
839,-0.03290417
840,0.17661399
841,-0.021840027
842,-0.013449748
843,0.16906446
844,-0.045896754
845,-0.030815562
846,-0.040685643
847,-0.023171311
848,-0.06962848
849,-0.006196995
850,0.16329038
851,-0.02384902
852,-0.025654083
853,-0.050386086
854,-0.05302248
855,-0.03900277
856,-0.0011037212
857,-0.04782446
858,0.15050463
859,0.012739284
860,0.04030683
861,-0.040685643
862,-0.05654167
863,0.0005440556
864,-0.07642505
865,0.14234473
866,-0.03225738
867,0.0024802731
868,-0.00208335
869,0.044358034
870,0.026884733
871,-0.07565899
872,0.1317033
873,-0.06089875
874,0.01961539
875,-0.032242667
876,-0.044884823
877,-0.050732285
878,-0.03363483
879,-0.046924412
880,-0.08801211
881,-0.005120576
882,-0.0407449
883,-0.06150596
884,0.0528971
885,-0.058224965
886,-0.011091164
887,-0.054349832
888,-0.024228618
889,-0.03732685
890,0.001359571
891,-0.084296145
892,-0.0389714
893,0.0077841114
894,-0.046036363
895,-0.025603984
896,0.005243777
897,0.15278213
898,0.14094692
899,-0.054275095
900,-0.0307713
901,-0.040685643
902,-0.011810702
903,-0.033799283
904,-0.025999213
905,-0.0064803986
906,-0.062071554
907,0.0020101238
908,0.04621609
909,-0.00379692
910,-0.04196709
911,0.0054947115
912,-0.051588725
913,0.16934486
914,-0.048191212
915,-0.04351903
916,-0.046924412
917,0.14137706
918,0.006763147
919,-0.004042371
920,0.002192286
921,-0.009174313
922,-0.04846529
923,-0.053494867
924,-0.04721849
925,-0.0143711995
926,-0.04782446
927,-0.056849074
928,-0.036532287
929,-0.02331393
930,0.16049494
931,0.015713027
932,0.023089858
933,0.15110472
934,-0.086071335
935,-0.027373033
936,0.18155347
937,-0.029134974
938,-0.016732281
939,-0.043044448
940,0.16769657
941,-0.041947927
942,-0.084311016
943,-0.048336543
944,-0.041094776
945,0.13485108
946,-0.040685643
947,-0.022023378
948,-0.037676755
949,-0.058343362
950,-0.048141062
951,-0.038238697
952,-0.047311395
953,-0.008335664
954,-0.025664248
955,-0.011297886
956,0.18561725
957,-0.03664929
958,0.0021722193
959,-0.031848636
960,-0.025536636
961,-0.0668434
962,-0.027779
963,-0.029942878
964,0.14470662
965,0.14101745
966,-0.039635092
967,-0.037224147
968,0.018893965
969,-0.0060231606
970,-0.06680228
971,-0.018361475
972,-0.05844851
973,-0.025664248
974,-0.037436925
975,-0.042660423
976,-0.052253265
977,-0.04888587
978,-0.04904298
979,-0.008241416
980,0.18074557
981,-0.042048242
982,-0.050485466
983,-0.04196986
984,0.04030683
985,-0.03908426
986,-0.054942407
987,-0.031385947
988,-0.023935974
989,0.04805503
990,0.007823822
991,-0.03726719
992,-0.047783017
993,0.13440567
994,-0.019944893
995,-0.053692494
996,0.1695987
997,-0.055397045
998,-0.011247569
999,0.043449514
1000,-0.04272484
1001,-0.04846529
1002,0.14729396
1003,-0.099517524
1004,0.0020020448
1005,-0.082726434
1006,0.013245722
1007,-0.00031226763
1008,-0.029959705
1009,0.10769945
1010,0.044358034
1011,-0.061672457
1012,-0.06392713
1013,-0.051676072
1014,-0.04186042
1015,-0.0059803566
1016,-0.06592177
1017,-0.025629213
1018,-0.039169647
1019,-0.0617431
1020,0.12467354
1021,-0.015444333
1022,-0.067661025
1023,-0.04830621
1024,0.1221388
1025,-0.048143487
1026,-0.040685643
1027,-0.049180634
1028,-0.024239585
1029,-0.036026064
1030,0.14969517
1031,-0.025190024
1032,-0.063503586
1033,-0.098445944
1034,-0.025709832
1035,-0.05799742
1036,-0.044643834
1037,-0.013408046
1038,-0.033730302
1039,0.0034307176
1040,-0.0389437
1041,-0.056155622
1042,-0.062041007
1043,0.024478197
1044,-0.06427086
1045,0.1458552
1046,0.005119322
1047,-0.040685643
1048,-0.0624963
1049,-0.039073743
1050,-0.041992884
1051,-0.045323186
1052,-0.041721035
1053,-0.008763155
1054,-0.027962416
1055,0.16957521
1056,0.14205842
1057,0.13826406
1058,-0.033322353
1059,-0.03445242
1060,-0.024872495
1061,-0.02992613
1062,-0.082066655
1063,0.12509592
1064,0.13721809
1065,-0.0070187966
1066,-0.039410498
1067,-0.049217366
1068,0.18600689
1069,-0.05389613
1070,-0.067458354
1071,-0.016614212
1072,-0.037485633
1073,0.14729396
1074,0.005455745
1075,-0.060281724
1076,0.12929085
1077,0.14794903
1078,0.04767056
1079,-0.039274048
1080,-0.026068786
1081,-0.0038586955
1082,-0.048893586
1083,-0.007833486
1084,-0.033830572
1085,-0.06151465
1086,0.117376566
1087,-0.023739493
1088,-0.06300752
1089,-0.061279647
1090,0.0045011775
1091,0.026898783
1092,-0.06094233
1093,-0.040383257
1094,-0.03475964
1095,-0.012724708
1096,-0.09416472
1097,0.12223026
1098,-0.06252377
1099,-0.06026985
1100,-0.0532577
1101,0.14121354
1102,-0.0307713
1103,0.019061003
1104,-0.059736848
1105,-0.089619204
1106,-0.019771928
1107,-0.036856927
1108,-0.0778697
1109,-0.04642685
1110,-0.058711786
1111,-0.035171777
1112,-0.003714893
1113,-0.044368044
1114,-0.078799695
1115,-0.040685643
1116,-0.02151028
1117,-0.051099945
1118,-0.083137885
1119,0.121256255
1120,-0.0007870017
1121,-0.04801056
1122,-0.007929879
1123,-0.028712388
1124,-0.084585205
1125,-0.06843383
1126,-0.031134909
1127,-0.036111217
1128,-0.064455725
1129,0.19701202
1130,-0.03642743
1131,-0.031325486
1132,-0.040685643
1133,-0.05643713
1134,-0.061635714
1135,-0.01533309
1136,0.13971634
1137,0.14559625
1138,-0.031117454
1139,-0.040685643
1140,-0.02029945
1141,-0.009931324
1142,-0.054014888
1143,-0.0019948916
1144,-0.062778376
1145,-0.04384175
1146,-0.108736955
1147,-0.008750116
1148,0.16122483
1149,0.112387665
1150,0.11963285
1151,-0.042604025
1152,-0.030944573
1153,-0.043970954
1154,-0.056489147
1155,0.026884733
1156,-0.016470702
1157,-0.008241416
1158,-0.014329149
1159,-0.047960676
1160,-0.057701718
1161,0.022049416
1162,-0.06193676
1163,-0.009174313
1164,-0.031623144
1165,0.01845708
1166,-0.0077354675
1167,-0.017374733
1168,-0.06260101
1169,0.14364295
1170,-0.07995966
1171,0.17658682
1172,0.13124211
1173,0.0131917475
1174,-0.08515494
1175,-0.06404626
1176,0.012602581
1177,-0.040245913
1178,0.045056254
1179,0.008134458
1180,-0.014876525
1181,-0.057904158
1182,-0.035393644
1183,0.12064622
1184,0.011699277
1185,0.153561
1186,-0.033689372
1187,0.044358034
1188,-0.00208335
1189,-0.055707578
1190,-0.067818575
1191,-0.041445635
1192,-0.045650266
1193,-0.04675988
1194,-0.008241416
1195,0.024478197
1196,-0.066709496
1197,-0.022285983
1198,-0.06543348
1199,0.012413916
1200,0.0023293502
1201,-0.029618302
1202,0.19259658
1203,0.1393799
1204,0.14729396
1205,-0.0032211086
1206,-0.046036363
1207,-0.04782446
1208,-0.040685643
1209,-0.0641653
1210,-0.040685643
1211,-0.1103184
1212,-0.016277155
1213,-0.01354394
1214,-0.034616414
1215,-0.009174313
1216,-0.037070934
1217,0.14959286
1218,-0.03936836
1219,-0.041959543
1220,-0.011164497
1221,0.1271982
1222,-0.054106183
1223,-0.033322353
1224,-0.006017282
1225,0.132034
1226,-0.03571647
1227,-0.053881157
1228,-0.062428653
1229,-0.0206472
1230,-0.038030636
1231,0.14355713
1232,-0.046036363
1233,0.0021722193
1234,0.0074041514
1235,-0.051880438
1236,0.16049494
1237,-0.057494827
1238,-0.004828344
1239,-0.052241378
1240,0.046481747
1241,0.13254851
1242,-0.025190024
1243,-0.06808464
1244,-0.07128206
1245,-0.035620533
1246,-0.033250485
1247,0.121879674
1248,0.010321526
1249,0.0077530355
1250,0.0016324584
1251,-0.052175846
1252,0.18524042
1253,0.1854231
1254,-0.05398676
1255,-0.046647824
1256,-0.034221414
1257,-0.032834105
1258,-0.064184204
1259,-0.037140913
1260,-0.037439328
1261,-0.066397734
1262,0.15050463
1263,-0.04875247
1264,0.022073561
1265,-0.05526302
1266,-0.0012049676
1267,-0.053545427
1268,-0.04369768
1269,-0.06773152
1270,-0.06723721
1271,-0.043339763
1272,-0.040685643
1273,-0.056962524
1274,-0.021542052
1275,-0.006017282
1276,-0.067953326
1277,-0.048230056
1278,0.012240156
1279,-0.04339842
1280,-0.020386234
1281,0.023407834
1282,-0.049995627
1283,-0.03290417
1284,-0.04327163
1285,-0.015828898
1286,0.12374299
1287,-0.044487186
1288,0.13470592
1289,0.03866616
1290,-0.034190185
1291,-0.052226666
1292,-0.054907277
1293,-0.046036363
1294,-0.041611448
1295,-0.058493223
1296,0.114269994
1297,0.13798478
1298,-0.03713228
1299,-0.02384902
1300,0.124229
1301,-0.027444081
1302,-0.019880105
1303,-0.03902419
1304,-0.030657865
1305,0.042618256
1306,0.10535106
1307,-0.011253355
1308,-0.046924412
1309,-0.04451195
1310,-0.0022799985
1311,-0.072857656
1312,-0.020931775
1313,0.14098744
1314,-0.0061415317
1315,-0.06590827
1316,0.12488096
1317,-0.037974343
1318,-0.04190689
1319,-0.045317296
1320,-0.061058186
1321,0.043200966
1322,-0.027077954
1323,0.027698928
1324,-0.062743105
1325,0.16654158
1326,-0.075604066
1327,-0.030373236
1328,-0.043458678
1329,-0.07678157
1330,-0.05880915
1331,-0.06963185
1332,-0.05035902
1333,0.002154187
1334,0.0071854116
1335,-0.050423782
1336,-0.035090048
1337,-0.0017439
1338,-0.046354704
1339,-0.06182175
1340,-0.0010120606
1341,-0.04337855
1342,-0.05572609
1343,0.15253894
1344,0.04767056
1345,-0.05939812
1346,-0.08628009
1347,-0.040685643
1348,-0.07477298
1349,-0.024932744
1350,-0.061423223
1351,-0.090937175
1352,-0.041255184
1353,-0.04443004
1354,-0.030373236
1355,-0.038599953
1356,-0.083873816
1357,-0.056405008
1358,-0.036158983
1359,0.11942843
1360,-0.061845165
1361,-0.015591964
1362,-0.050299935
1363,-0.027222844
1364,0.19782038
1365,-0.03629327
1366,0.18524042
1367,-0.03059979
1368,-0.039369345
1369,-0.07798974
1370,-0.0035059403
1371,-0.040335793
1372,-0.017374733
1373,-0.02153369
1374,0.020015854
1375,-0.04606416
1376,-0.06954741
1377,0.022879437
1378,-0.057382148
1379,-0.091499016
1380,-0.06390488
1381,0.12544642
1382,-0.03259034
1383,-0.06498215
1384,-0.04890032
1385,-0.025889989
1386,-0.029352253
1387,-0.0675144
1388,-0.02711541
1389,-0.007943703
1390,0.04805503
1391,0.062584
1392,-0.036047585
1393,-0.03973751
1394,-0.043778136
1395,-0.040685643
1396,0.13887964
1397,-0.01246133
1398,-0.04934693
1399,0.13040957
1400,0.15003969
1401,-0.041509576
1402,-0.038103204
1403,-0.023793047
1404,-0.011091164
1405,-0.014418232
1406,-0.0125384
1407,-0.036748458
1408,-0.03732685
1409,0.03134513
1410,0.045709483
1411,0.018488433
1412,-0.040685643
1413,-0.0013149815
1414,-0.09439494
1415,0.13983735
1416,-0.06393683
1417,-0.019944893
1418,-0.037224147
1419,-0.027107023
1420,-0.008630125
1421,-0.025557743
1422,-0.040685643
1423,-0.06954143
1424,-0.040685643
1425,0.012739284
1426,0.045709483
1427,0.0014606306
1428,-0.05057608
1429,0.14676622
1430,-0.025664248
1431,-0.0068442314
1432,0.14522618
1433,-0.04965843
1434,-0.07076664
1435,0.13111156
1436,0.1398923
1437,-0.007926418
1438,-0.028645994
1439,0.039405406
1440,-0.031327233
1441,-0.039589934
1442,-0.019095654
1443,0.1295578
1444,0.1587379
1445,-0.054459598
1446,-0.07494171
1447,0.18196404
1448,-0.035044182
1449,-0.0030137978
1450,-0.037622996
1451,-0.030232862
1452,-0.06638837
1453,-0.04643876
1454,-0.040685643
1455,-0.03783704
1456,-0.027331986
1457,-0.034030806
1458,0.0020101238
1459,-0.043779876
1460,-0.027822066
1461,-0.064922735
1462,-0.06791516
1463,0.100434385
1464,-0.033914182
1465,-0.07235736
1466,-0.076402254
1467,-0.040685643
1468,-0.05868269
1469,-0.045727085
1470,0.13656348
1471,-0.09163432
1472,-0.04191477
1473,0.028921893
1474,-0.012432041
1475,-0.073322095
1476,-0.05361407
1477,-0.036093142
1478,-0.052247897
1479,-0.0024302192
1480,-0.035826545
1481,0.10720786
1482,-0.028093858
1483,-0.058960162
1484,-0.034042988
1485,-0.028436104
1486,0.1774726
1487,-0.011002301
1488,-0.06109121
1489,0.16567251
1490,-0.03180358
1491,-0.029916361
1492,-0.05699396
1493,-0.028733544
1494,0.19184014
1495,-0.07531949
1496,-0.0037428702
1497,-0.040364634
1498,0.16383919
1499,-0.06325274
1500,0.1281968
1501,-0.04284492
1502,-0.063233726
1503,-0.026012579
1504,-0.034160957
1505,0.044270806
1506,0.005190472
1507,-0.066437975
1508,-0.044544637
1509,-0.0011780865
1510,0.14878576
1511,0.13292743
1512,-0.04442559
1513,-0.056812685
1514,0.15646975
1515,-0.073715106
1516,-0.05015501
1517,0.14094692
1518,-0.059906498
1519,-0.04351903
1520,-0.04013846
1521,-0.024978707
1522,-0.046187844
1523,-0.061041318
1524,-0.0709537
1525,-0.048487514
1526,-0.032191344
1527,0.012739284
1528,0.04044326
1529,0.13538213
1530,-0.048310094
1531,-0.090360716
1532,0.14880052
1533,-0.063302666
1534,-0.029244933
1535,-0.04566597
